Updating,Tracing,Infector,Total
1588629,222859,586745,2398250
1680708,275608,437606,2393956
1687932,252454,438112,2378528
1687628,366772,402414,2456836
1678827,270835,427903,2377608
1402947,221217,335284,1959461
1552193,219748,335656,2107612
1681913,223587,404724,2310253
1684437,121247,406447,2212159
1691901,123855,403437,2219205
1683098,121307,397726,2202142
1683256,121627,397410,2202329
1395020,120806,334108,1849946
1552265,121902,336515,2010694
1688127,121849,421391,2231381
1734481,184134,403539,2322172
1741476,169087,419631,2330208
1693557,120820,430598,2244989
1719801,122987,431692,2274495
1414123,123154,354279,1891584
1570145,170886,360424,2101469
1683300,172212,419726,2275250
1712374,176766,423187,2312341
1718801,122631,422287,2263742
1718632,124745,442591,2285982
1722510,122829,436320,2281671
1394337,123236,388649,1906239
1567683,121487,387485,2076668
1686938,119480,474483,2280915
1715741,124902,508280,2348939
1713292,121029,475074,2309420
1691393,122229,482183,2295820
1683679,121630,495337,2300669
1395038,119213,453808,1968091
1559014,120361,463606,2143008
1688248,135161,539122,2362552
1698530,145587,554428,2398565
1687171,144192,564827,2396211
1688775,159419,580682,2428897
1688423,120840,602095,2411388
1408120,122175,555934,2086250
1575519,123105,584022,2282676
1688924,122640,664278,2475878
1711719,124342,690611,2526732
1698915,123480,683761,2506180
1711312,127508,672417,2511257
1704868,174912,679927,2559741
1409394,125821,601594,2136827
1576410,138942,606512,2321886
1698250,129830,671017,2499118
1691019,132156,656790,2479987
1688026,127374,639308,2454728
1689589,127843,622408,2439859
1689794,130076,626928,2446817
1397375,131335,527325,2056053
1561165,178958,519145,2259292
1714136,127603,579680,2421439
1701087,159152,557140,2417400
1698041,127278,532072,2357417
1686534,127730,518830,2333109
1688305,128063,505925,2322315
1397582,129151,425025,1951773
1557783,129104,412460,2099360
1688337,128809,483779,2300946
1692932,128735,465860,2287546
1714974,129752,469626,2314369
1734133,128542,491357,2354047
1691838,128682,443623,2264162
1388013,128446,384314,1900806
1548916,128140,365366,2042435
1684569,128311,436395,2249288
1688706,128441,422210,2239369
1693220,170446,428302,2291981
1687178,128873,424960,2241024
1706921,178863,444229,2330044
1389713,126374,353589,1869689
1551951,152755,353222,2057939
1696458,122814,407201,2226485
1691359,158518,402040,2251929
1687723,124366,408210,2220312
1680983,122841,404071,2207905
1683560,122844,405800,2212215
1396878,128087,369962,1894939
1573222,125112,351982,2050329
1683669,124222,407339,2215256
1688481,127072,409603,2225171
1685119,126445,412564,2224142
1694004,118419,399334,2211769
1686119,136168,403733,2226043
1392528,121107,344040,1857690
1556138,125214,342118,2023483
1694616,119855,403019,2217502
1686637,135681,399133,2221464
1683748,118412,397827,2199999
1685102,124201,393766,2203078
1685414,124343,393702,2203468
1392926,119916,334581,1847435
1551273,120696,337966,2009949
1691228,121212,403050,2215500
1698835,118930,405398,2223172
