weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
4105,4,16423,23,3,70
2288,9,20593,1747,9,15730
3009,11,33105,1075,11,11828
2567,13,33375,1626,12,19523
518,8,4144,3435,8,27481
2782,6,16693,1573,5,7867
1602,13,20838,3146,10,31463
1657,10,16572,2330,10,23301
2111,10,21112,2252,9,20270
1956,11,21520,2636,9,23726
3255,8,26043,1329,6,7978
2094,4,8378,2597,3,7791
2613,8,20907,1822,7,12759
2622,13,34097,1818,11,20001
2305,13,29976,1849,13,24041
3308,9,29778,912,9,8211
3197,8,25576,1185,7,8295
940,9,8465,3182,9,28646
1708,10,17087,2488,10,24883
714,6,4287,3401,6,20407
2418,14,33852,2027,12,24326
2834,6,17008,1345,6,8073
1575,8,12606,2527,8,20221
2837,3,8513,1363,3,4091
2189,12,26276,2216,11,24380
1741,5,8708,2483,5,12416
3558,11,39148,842,10,8420
3189,11,35082,1386,9,12474
2832,11,31161,1842,9,16581
1659,8,13274,2984,7,20891
1809,10,18098,2721,9,24495
3285,4,13141,1039,4,4157
1455,9,13099,2750,9,24750
2614,10,26147,1655,10,16552
2786,11,30648,1678,10,16786
1887,5,9436,2457,5,12286
1902,7,13320,2366,7,16563
2450,9,22057,2123,8,16985
2567,7,17969,2078,6,12473
1775,10,17755,2798,9,25188
1126,8,9011,3169,8,25357
1643,11,18074,2671,11,29381
1977,9,17796,2327,9,20946
1019,9,9175,3299,9,29693
3376,4,13506,2116,2,4233
2584,12,31010,1944,11,21389
2989,9,26908,1462,9,13164
1657,8,13259,2698,8,21584
1298,7,9091,3089,7,21628
4499,2,8998,29,2,58
2799,8,22393,1606,8,12853
2085,11,22937,2377,11,26155
1553,9,13977,2893,9,26045
3356,4,13427,1101,4,4407
2601,7,18208,1914,7,13402
8,5,43,4320,5,21603
898,5,4490,3428,5,17141
3534,9,31807,991,9,8925
2339,10,23392,2219,10,22191
2309,8,18476,2214,8,17714
1144,4,4578,3360,4,13440
1164,4,4658,3250,4,13000
3209,10,32095,1324,10,13243
2712,5,13560,1849,5,9245
3149,6,18899,1510,6,9065
3212,3,9638,1477,3,4432
1543,9,13893,3026,9,27242
780,6,4684,3823,6,22943
1564,6,9389,2977,6,17867
2333,12,27999,2210,12,26526
2311,4,9247,2216,4,8866
2379,4,9518,2214,4,8856
2723,7,19065,1965,7,13761
3415,11,37573,1222,11,13444
1740,11,19145,2895,11,31848
1313,7,9191,3161,7,22131
5022,1,5022,26,1,26
1573,3,4720,2957,3,8872
2918,5,14591,1830,5,9152
2956,5,14781,1825,5,9127
1362,7,9538,3197,7,22385
3481,7,24369,1318,7,9228
3627,8,29018,1140,8,9124
2452,12,29429,2331,12,27976
3629,8,29034,1143,8,9147
3137,8,25097,1745,8,13964
814,6,4888,4003,6,24018
2929,10,29299,1872,10,18723
3661,4,14645,1207,4,4829
3899,5,19497,1019,5,5095
2399,4,9599,2298,4,9194
1558,9,14026,3071,9,27645
3260,3,9782,1679,3,5038
3289,6,19739,1546,6,9277
2389,4,9557,2365,4,9462
3587,4,14349,1183,4,4735
4838,1,4838,49,1,49
2448,4,9795,2345,4,9383
2494,2,4988,2312,2,4625
2866,7,20064,2007,7,14051
3208,3,9624,1580,3,4740
1721,3,5163,3138,3,9415
1271,4,5087,3656,4,14626
2495,8,19961,2449,8,19595
8,7,62,4723,7,33067
3684,4,14739,1218,4,4872
1649,3,4947,3139,3,9417
1396,7,9772,3445,7,24121
2481,6,14889,2382,6,14292
1282,4,5131,3580,4,14320
2589,4,10356,2445,4,9780
1682,6,10092,3211,6,19267
3563,10,35634,1455,10,14558
1693,3,5079,3334,3,10004
1731,3,5194,3202,3,9606
1648,3,4945,3226,3,9680
5151,7,36060,27,7,192
3344,3,10033,1830,3,5490
2556,4,10227,2421,4,9687
1468,7,10276,3568,7,24981
9,4,39,4953,4,19815
9,3,29,4998,3,14995
11,1,11,4917,1,4917
18,1,18,5025,1,5025
3804,4,15216,1233,4,4934
3682,7,25777,1419,7,9935
1274,4,5096,3664,4,14656
2571,6,15426,2489,6,14936
2561,4,10244,2470,4,9880
1733,3,5199,3303,3,9910
9,5,46,4954,5,24771
2669,2,5339,2469,2,4938
4211,5,21057,1032,5,5164
3912,4,15651,1257,4,5030
10,2,20,4967,2,9934
3493,3,10480,1660,3,4982
0,0,0,0,0,0
9,2,19,5187,2,10374
3526,3,10578,1677,3,5032
5212,2,10424,31,2,62
5428,3,16286,27,3,81
11,1,11,5040,1,5040
1726,3,5178,3441,3,10323
9,2,18,5198,2,10396
5422,1,5422,31,1,31
3987,4,15951,1307,4,5231
2743,4,10973,2546,4,10186
5527,2,11054,27,2,54
0,0,0,0,0,0
3590,3,10772,1702,3,5108
10,1,10,5607,1,5607
0,0,0,0,0,0
1783,3,5349,3430,3,10290
5917,1,5917,29,1,29
3741,3,11225,1790,3,5372
2265,5,11325,3098,5,15494
1843,3,5531,3470,3,10410
5565,4,22263,30,4,120
2748,6,16489,2633,6,15801
3628,3,10884,1827,3,5481
5346,1,5346,25,1,25
2223,5,11118,3121,5,15609
1432,4,5730,4037,4,16148
1505,4,6022,4103,4,16413
9,2,19,5209,2,10418
3687,3,11063,1748,3,5246
5639,1,5639,34,1,34
2860,6,17162,2655,6,15932
2759,2,5519,2677,2,5355
3412,5,17063,2154,5,10772
3738,3,11215,1770,3,5312
5795,1,5795,26,1,26
3768,3,11304,1834,3,5503
3772,3,11317,1813,3,5439
5679,3,17038,29,3,88
5662,1,5662,27,1,27
9,2,19,5329,2,10658
3766,6,22600,1792,6,10754
963,6,5782,4559,6,27356
2821,4,11284,2682,4,10730
0,0,0,0,0,0
0,0,0,0,0,0
10,1,10,5425,1,5425
9,2,18,5402,2,10804
5768,1,5768,34,1,34
2878,2,5757,2708,2,5416
3446,5,17230,2230,5,11150
5850,1,5850,33,1,33
4269,4,17079,1372,4,5491
2959,2,5919,2723,2,5447
2896,2,5792,2738,2,5476
11,2,22,5456,2,10912
4437,4,17751,1433,4,5733
1941,3,5824,3738,3,11216
5867,1,5867,30,1,30
5826,3,17478,55,3,166
9,1,9,5505,1,5505
1975,3,5925,3760,3,11280
4405,4,17622,1400,4,5601
2983,2,5967,2864,2,5729
6115,1,6115,30,1,30
4091,3,12274,1973,3,5919
10,1,10,5542,1,5542
9,2,18,5572,2,11145
11,1,11,5649,1,5649
1008,6,6048,4794,6,28764
0,0,0,0,0,0
3012,4,12049,2828,4,11313
3018,2,6036,3079,2,6158
4068,3,12206,1902,3,5706
6020,1,6020,32,1,32
10,1,10,5670,1,5670
6102,1,6102,28,1,28
15,1,15,5724,1,5724
6065,3,18197,25,3,77
10,4,40,5938,4,23752
6077,4,24308,33,4,133
4657,4,18630,1559,4,6237
2017,3,6052,3975,3,11927
3108,2,6216,3019,2,6038
6231,1,6231,30,1,30
3041,2,6083,2881,2,5762
10,1,10,5921,1,5921
1277,5,6389,4622,5,23110
3153,2,6307,2896,2,5793
3100,2,6201,2981,2,5962
4311,3,12934,1991,3,5974
10,3,31,5816,3,17449
3212,4,12850,2937,4,11750
4146,3,12440,2037,3,6113
3085,4,12341,2934,4,11739
11,1,11,5917,1,5917
3228,2,6457,3063,2,6127
10,1,10,5958,1,5958
0,0,0,0,0,0
3150,2,6301,3040,2,6081
0,0,0,0,0,0
9,1,9,6437,1,6437
10,1,10,5886,1,5886
6191,1,6191,32,1,32
4259,6,25554,1989,6,11937
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3158,2,6316,2990,2,5980
4856,4,19427,1512,4,6050
10,1,10,6079,1,6079
12,1,12,6462,1,6462
6511,2,13023,32,2,64
10,1,10,6497,1,6497
11,1,11,6035,1,6035
11,1,11,6118,1,6118
10,2,20,6145,2,12291
7028,1,7028,31,1,31
3364,2,6729,3160,2,6320
2603,5,13019,3699,5,18499
10,1,10,6126,1,6126
10,1,10,6071,1,6071
6732,1,6732,31,1,31
0,0,0,0,0,0
3127,2,6255,3071,2,6143
10,1,10,6161,1,6161
1531,5,7659,5049,5,25245
6595,1,6595,31,1,31
6737,1,6737,37,1,37
4401,3,13205,2197,3,6592
0,0,0,0,0,0
4373,3,13120,2108,3,6326
0,0,0,0,0,0
0,0,0,0,0,0
6626,2,13252,26,2,53
1674,4,6696,4884,4,19539
0,0,0,0,0,0
0,0,0,0,0,0
4466,3,13398,2114,3,6344
6671,1,6671,33,1,33
0,0,0,0,0,0
10,1,10,6340,1,6340
3333,2,6666,3180,2,6361
10,1,10,6343,1,6343
10,2,21,6427,2,12855
5102,4,20409,1603,4,6412
10,1,10,6350,1,6350
11,1,11,6809,1,6809
3398,2,6797,3256,2,6513
0,0,0,0,0,0
6757,1,6757,30,1,30
6820,2,13640,33,2,66
7034,1,7034,27,1,27
3359,2,6719,3259,2,6518
0,0,0,0,0,0
10,2,20,6440,2,12881
0,0,0,0,0,0
3482,2,6965,3248,2,6496
10,1,10,6459,1,6459
3466,2,6932,3261,2,6523
0,0,0,0,0,0
0,0,0,0,0,0
3449,2,6898,3270,2,6541
2303,3,6909,4403,3,13211
7023,3,21070,32,3,96
6909,1,6909,28,1,28
3739,4,14959,3330,4,13321
7018,3,21054,30,3,90
10,2,20,6598,2,13196
2330,3,6991,4535,3,13606
0,0,0,0,0,0
1771,4,7087,5019,4,20077
7027,1,7027,24,1,24
0,0,0,0,0,0
11,2,22,7058,2,14116
4891,3,14675,2408,3,7225
11,2,22,6987,2,13975
10,1,10,6644,1,6644
7126,1,7126,35,1,35
10,1,10,6673,1,6673
0,0,0,0,0,0
3518,2,7036,3378,2,6757
2366,3,7098,4489,3,13468
1423,5,7117,5378,5,26892
3565,2,7130,3675,2,7350
7527,2,15055,31,2,62
0,0,0,0,0,0
0,0,0,0,0,0
11,2,23,6768,2,13536
0,0,0,0,0,0
0,0,0,0,0,0
7265,1,7265,33,1,33
7130,2,14260,35,2,71
0,0,0,0,0,0
7330,1,7330,32,1,32
3594,2,7188,3454,2,6908
7346,3,22039,33,3,100
11,2,23,6924,2,13849
0,0,0,0,0,0
5608,4,22432,1749,4,6996
5624,4,22496,1761,4,7044
4860,3,14580,2333,3,6999
7417,1,7417,40,1,40
0,0,0,0,0,0
13,1,13,6924,1,6924
3702,2,7405,3529,2,7059
0,0,0,0,0,0
7366,3,22099,31,3,95
7430,2,14861,32,2,64
12,1,12,7361,1,7361
0,0,0,0,0,0
7419,1,7419,34,1,34
12,1,12,7063,1,7063
0,0,0,0,0,0
7545,3,22636,34,3,102
5144,3,15432,2379,3,7138
7462,1,7462,26,1,26
0,0,0,0,0,0
7617,2,15234,33,2,66
10,1,10,7625,1,7625
0,0,0,0,0,0
0,0,0,0,0,0
3826,2,7652,3786,2,7572
0,0,0,0,0,0
12,1,12,7166,1,7166
12,1,12,7170,1,7170
12,1,12,7447,1,7447
0,0,0,0,0,0
0,0,0,0,0,0
7450,1,7450,35,1,35
11,1,11,7270,1,7270
0,0,0,0,0,0
0,0,0,0,0,0
3823,2,7647,3625,2,7250
0,0,0,0,0,0
1863,4,7455,5726,4,22904
0,0,0,0,0,0
7769,1,7769,31,1,31
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1990,4,7960,5677,4,22710
11,2,23,7391,2,14783
0,0,0,0,0,0
11,1,11,7768,1,7768
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10,1,10,7516,1,7516
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10,1,10,7652,1,7652
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,1,11,7507,1,7507
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8016,1,8016,36,1,36
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,1,11,7686,1,7686
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7970,1,7970,32,1,32
0,0,0,0,0,0
7932,1,7932,33,1,33
0,0,0,0,0,0
8650,1,8650,34,1,34
0,0,0,0,0,0
0,0,0,0,0,0
8024,2,16049,34,2,69
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12,2,24,7881,2,15763
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,1,11,8102,1,8102
0,0,0,0,0,0
8163,1,8163,36,1,36
0,0,0,0,0,0
13,1,13,8082,1,8082
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8345,2,16691,28,2,56
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8352,1,8352,34,1,34
0,0,0,0,0,0
12,1,12,8219,1,8219
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14,1,14,8372,1,8372
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,1,11,8455,1,8455
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9041,1,9041,38,1,38
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
