Updating,Tracing,Infector,Total
1592069,223425,923969,2739479
1689812,224577,527262,2441673
1694172,227600,526685,2448472
1679054,225236,519489,2423793
1726815,264474,518162,2509475
1343999,220956,419794,1984760
1571010,222233,422521,2215776
1711719,133215,519412,2364356
1726626,124681,503439,2354761
1726472,136615,505722,2368820
1713332,128992,503556,2345891
1700405,122767,491460,2314644
1298406,123789,438917,1861122
1536741,122684,427198,2086638
1741115,167297,529603,2438026
1734196,251765,623918,2609906
1693374,122733,518706,2334835
1739458,125088,527199,2391760
1709884,122396,525410,2357701
1302116,120376,444490,1866991
1526525,122233,466901,2115670
1690237,121685,545355,2357288
1701204,121290,575161,2397673
1711614,130035,607420,2449079
1706819,121595,569987,2398417
1746706,165623,585091,2497451
1365735,120891,501191,1987827
1552725,145606,545087,2243430
1753568,121733,618551,2493863
1705977,121923,632783,2460692
1728623,122291,681112,2532045
1725297,122130,668711,2516148
1716633,169830,681295,2567775
1328043,122535,619311,2069899
1552864,161548,636989,2351417
1710595,122349,763020,2595973
1709307,122186,780771,2612275
1694369,122055,818337,2634772
1702720,121590,842200,2666520
1722228,122036,898862,2743139
1311103,124510,822904,2258527
1533155,124274,865402,2522846
1745806,122515,996427,2864758
1751508,123418,1025684,2900619
1765738,169814,1038026,2973601
1756047,124724,1048047,2928830
1730607,124734,1052455,2907808
1292889,143634,940294,2376829
1564153,125502,941174,2630844
1727744,172044,1078814,2978612
1733054,125342,1074092,2932500
1737716,122822,1022715,2883266
1764909,128295,1017202,2910418
1759261,127101,992544,2878917
1335696,124821,808219,2268750
1557517,167274,771104,2495919
1717931,124165,866695,2708806
1734935,124224,816407,2675581
1729630,125029,830056,2684726
1735859,125124,775562,2636562
1774195,141163,760505,2675882
1417105,127526,617254,2161900
1573333,129563,585503,2288424
1738847,124830,676006,2539699
1744891,124480,641390,2510789
1745812,158445,642689,2546967
1740407,125750,612356,2478530
1746107,126174,605953,2478251
1356338,123075,495636,1975067
1599785,121447,493217,2214461
1746321,122741,565745,2434823
1768801,119926,564374,2453123
1763528,120801,561962,2446307
1760042,120010,542461,2422529
1756072,168462,533698,2458264
1386515,120999,453263,1960794
1615118,167085,442563,2224777
1786188,122163,527383,2435746
1725944,122533,538432,2386931
1759900,123441,526157,2409514
1755717,122615,516719,2395061
1763718,121457,519723,2404917
1392528,121492,432041,1946086
1600268,121404,426358,2148042
1764288,121317,512077,2397701
1756232,167918,510931,2435094
1755274,121960,504588,2381833
1752538,124182,509100,2385843
1753357,127175,507672,2388225
1368849,123153,453555,1945570
1564413,122508,432781,2119716
1761089,124337,537658,2423108
1773233,124783,507706,2405735
1766819,120493,515121,2402446
1734979,125380,526523,2386898
1757920,122527,500627,2381090
1351011,125463,439237,1915721
1569928,129380,404985,2104304
1738579,169438,498467,2406493
1723007,123684,499716,2346417
