Updating,Tracing,Infector,Total
1612545,216329,32180313,34009212
1736470,262467,32481322,34480337
1719325,217574,32427919,34364862
1716628,217707,32347981,34282369
1717116,216025,32349356,34282532
1420724,215849,31235044,32871648
1598133,249571,31276974,33124712
1716215,158481,32433279,34308019
1735775,120947,32338441,34195195
1732073,119836,32134199,33986150
1733864,122502,32688774,34545170
1717643,118708,32163072,33999455
1421252,118455,31197144,32736879
1597578,123575,31199148,32920334
1715398,117449,32601347,34434225
1725898,157975,32319698,34203607
1722639,162237,32614402,34499303
1743749,120251,32509398,34373425
1718750,117921,32217238,34053950
1426826,119230,31189482,32735558
1596625,119143,31152415,32868220
1715011,117565,32392045,34224676
1718267,119831,33236222,35074354
1715636,119942,33296584,35132190
1719723,142047,33404225,35266038
1719261,118233,33304705,35142256
1418250,118833,32008948,33546071
1616838,120712,32104154,33841776
1734635,117878,33941828,35794389
1714585,117950,33483607,35316170
1721264,120022,33293285,35134652
1721881,148250,32942845,34813023
1718711,120564,32387980,34227352
1421230,118052,31108343,32647671
1595373,117798,31234782,32948073
1726935,117690,32327675,34172372
1716827,118125,31986725,33821750
1717343,119668,31992913,33830045
1720183,142356,32451352,34313992
1723450,119447,32366267,34209331
1422312,140330,31021854,32584568
1598203,119986,31063193,32781848
1721056,130325,32354845,34206295
1718065,119494,32074929,33912522
1730599,121557,31924370,33776607
1718677,143563,31797211,33659559
1725885,120938,31783298,33630238
1423891,156046,30879261,32459345
1596171,117642,30857527,32571501
1717670,117880,31567086,33402820
1717129,119804,31664526,33501738
1731242,145096,31520955,33397553
1719662,119452,31847905,33687342
1740690,131968,31731609,33604538
1424198,119615,30622748,32166774
1600703,119020,30557718,32277608
1723764,119504,31502093,33345833
1718233,118914,31659058,33496443
1715977,136449,31828833,33681578
1722168,119347,31735624,33577337
1717785,153778,32035725,33908053
1422004,120594,30864084,32406760
1596291,136411,30963439,32697132
1716657,119698,32159143,33995753
1718991,146574,32077633,33943854
1719650,117867,32129621,33967313
1722299,119976,32057586,33900001
1723720,118841,32204250,34046964
1422648,119827,31065915,32608659
1594164,117674,31147397,32859456
1721766,122160,32251210,34095438
1711841,119202,32187010,34018214
1716385,127553,32099469,33943569
1722730,117983,32191952,34032817
1714581,119353,32298870,34132970
1419962,117928,31467748,33005658
1599431,119907,31427978,33147524
1714915,117881,32445101,34278818
1716081,120145,32322616,34158871
1718216,120163,32300547,34139621
1711984,117345,32477357,34306827
1713439,121208,32428303,34263507
1433584,119603,31370059,32923265
1596647,152010,31387521,33136839
1717679,118643,32423231,34259582
1717076,122362,32281979,34121865
1716057,120313,32460633,34297125
1720430,125778,32393889,34240438
1719338,118489,32441311,34279253
1432018,119834,31639890,33191974
1600869,118110,31443303,33162302
1727127,133253,32391052,34251682
1714870,120410,32370043,34205441
1715333,119316,32230628,34065435
1715948,120685,32446213,34282981
1715454,119569,32423799,34258954
1419719,123174,31489103,33032134
1595899,119437,31591621,33307146
1717019,122900,32633957,34474053
1717488,120073,32353563,34191295
