Updating,Tracing,Infector,Total
1553020,242854,43539924,45335827
1657202,242921,40322948,42223172
1728547,244312,40813588,42786474
1680234,242227,40489010,42411534
1654749,286105,40717162,42658052
1370766,241211,40575431,42187436
1519472,240967,40523067,42283542
1664090,142360,40347224,42153715
1640581,133799,40225349,41999753
1704039,135030,40653604,42492701
1677570,135664,40613202,42426496
1634650,133972,40618481,42387134
1370074,136642,40950371,42457111
1517157,133691,41277609,42928487
1688442,135481,40564850,42388789
1681713,134011,40723070,42538821
1687406,132378,40582276,42402088
1663461,132627,40789877,42585987
1690328,132361,40742853,42565565
1404911,132866,41034411,42572207
1565891,134952,41074210,42775077
1722823,132938,40785033,42640817
1671471,132279,40262697,42066473
1666176,132371,40403393,42201968
1666282,132317,40380524,42179146
1668001,132242,40369183,42169451
1391987,132860,40917315,42442208
1620998,133640,41235996,42990668
1701810,131600,40559939,42393377
1686642,132337,40541575,42360571
1663116,132115,40441544,42236819
1670661,133263,40484536,42288501
1701328,137472,40302867,42141722
1432958,133493,40697234,42263716
1554937,132726,40687473,42375209
1657741,131682,40403644,42193155
1691650,132388,40205425,42029519
1668657,131687,40465194,42265555
1684155,132140,40084682,41901033
1679884,144389,40087980,41912426
1439573,133056,40594419,42167093
1560264,132696,40855818,42549013
1673570,132508,40243823,42050185
1663391,132429,40151951,41947831
1662370,132021,39998265,41792822
1668074,132897,40065023,41866234
1667014,132122,39854195,41653398
1430892,133778,40183974,41748719
1549034,132202,40364659,42046330
1681128,132853,40011069,41825175
1664632,131991,39705628,41502492
1657646,131999,39599341,41389144
1657798,131881,39910136,41699935
1667964,132036,39697866,41498449
1390269,131583,40179637,41701627
1632841,132850,40350219,42116224
1705971,131887,39733412,41571305
1677011,132060,39647572,41456661
1667582,132109,39862128,41661836
1725725,132053,39678609,41536540
1679623,132015,39807436,41619257
1397589,132697,40349546,41879994
1540259,131487,40305030,41977082
1722224,132676,39753451,41609085
1711211,133231,40015048,41859672
1677019,132205,39910176,41719551
1665540,131765,40269370,42067137
1667342,132142,40137718,41937319
1387033,173875,40696070,42257108
1554054,131534,40807123,42493644
1773882,132841,40442979,42349920
1662570,132026,40277454,42072076
1667101,133157,40240515,42041267
1679008,132184,40345061,42156395
1687062,132236,40286969,42106416
1394499,133010,40903508,42431533
1549777,133368,40940721,42624084
1678181,132586,40498509,42309497
1670324,131687,40519165,42321561
1663527,132229,40552474,42348251
1696967,134414,40295940,42127447
1664461,132573,40238737,42036152
1389789,132496,41146900,42669290
1628872,133145,41115746,42877956
1680600,132097,43076624,44889956
1670314,130644,43073057,44874139
1682848,131205,42942188,44756355
1740275,131689,42916066,44788146
1683122,132912,43667427,45483580
1388879,132132,43760145,45281267
1583026,141856,43340820,45065881
1670749,130280,43217481,45019069
1653504,130668,43364488,45148820
1670322,130629,43518258,45319397
1680448,131691,43354876,45167565
1673022,132585,43462042,45267794
1393412,131147,43889079,45413804
1583115,151388,43731960,45467064
1669841,132943,43269789,45072804
1659446,136174,43570976,45366759
