Infectious
0
0
1
1
1
1
2
1
1
1
1
1
1
1
2
2
2
2
2
3
3
3
3
3
2
3
3
3
3
3
3
3
4
3
3
4
4
4
4
4
4
4
5
5
5
5
5
5
5
5
6
5
5
6
5
6
6
5
5
5
6
6
6
6
6
6
6
7
5
6
7
7
7
7
7
8
6
8
8
7
7
6
6
7
7
8
8
7
9
7
9
9
9
9
8
9
10
9
9
9
10
11
11
11
10
9
9
12
11
9
9
11
10
9
11
13
13
11
11
11
12
11
10
13
12
11
13
11
11
12
12
9
13
10
12
13
12
15
11
13
13
13
10
15
14
12
13
13
15
12
15
16
13
15
15
13
17
13
13
14
15
13
13
15
14
16
16
17
15
15
15
14
17
15
15
15
16
15
17
14
16
13
16
19
15
14
18
15
17
15
16
15
18
16
15
15
17
16
14
16
15
16
14
15
15
12
17
17
15
17
14
14
12
16
15
16
13
15
17
16
18
15
18
19
17
15
15
20
17
16
14
16
17
21
16
19
18
16
11
16
18
17
16
18
17
17
20
19
17
17
14
12
17
12
11
13
8
13
12
14
17
11
16
18
12
11
13
14
16
8
15
17
16
16
12
13
14
15
9
14
14
13
13
17
11
15
17
18
15
16
13
16
18
17
11
11
17
14
14
14
16
17
19
16
17
17
13
15
15
14
16
19
14
14
20
13
12
15
17
13
16
17
17
19
18
17
14
18
21
17
19
21
16
16
16
20
16
16
24
17
21
16
21
16
16
16
21
19
21
20
13
18
17
18
18
19
22
21
21
17
20
15
18
20
20
18
21
18
20
18
19
22
19
17
16
20
18
21
20
19
19
15
18
14
20
19
17
20
17
21
19
17
18
17
20
18
17
17
20
19
16
17
23
22
22
22
23
19
22
17
21
22
19
24
19
22
25
19
25
20
17
22
25
19
19
24
24
21
22
18
18
23
24
21
24
25
21
21
22
21
26
24
21
21
21
21
22
23
22
23
22
21
24
25
23
22
25
27
24
24
22
26
22
23
24
20
23
24
20
23
25
24
28
23
23
22
23
28
24
22
21
24
23
24
26
23
28
23
30
26
25
24
27
25
28
25
28
24
26
27
29
26
28
21
27
29
23
26
23
29
24
29
27
29
30
27
27
26
28
29
31
26
26
26
27
22
24
26
29
23
27
28
23
29
30
29
30
28
26
24
31
30
32
31
31
27
35
32
20
25
22
23
29
29
26
32
30
31
24
25
27
25
29
31
27
26
32
27
29
25
34
33
33
30
33
26
30
33
31
31
31
32
31
31
30
28
26
35
31
27
32
32
33
25
27
33
29
34
27
29
30
29
29
35
30
26
23
32
35
38
35
34
32
36
28
35
23
34
22
28
32
33
35
39
28
37
31
35
26
28
39
31
32
27
35
26
39
35
41
28
34
24
34
38
41
41
43
33
35
37
35
32
39
33
35
36
30
37
43
35
39
28
36
25
38
26
39
29
27
37
24
40
34
27
36
34
32
40
43
38
40
37
28
47
47
37
41
36
54
43
35
45
44
47
41
32
31
38
43
28
40
43
44
31
28
36
28
38
52
38
39
48
27
30
40
49
35
44
49
49
47
39
47
38
43
32
43
45
26
40
39
32
53
50
41
45
26
37
30
34
52
39
35
41
46
42
35
42
38
51
36
30
29
37
33
36
52
43
29
27
28
42
43
30
42
38
39
47
25
41
25
38
39
45
44
44
38
45
45
59
42
44
22
39
34
43
57
62
58
52
32
41
48
38
37
33
60
45
42
51
41
36
55
49
45
56
62
40
52
29
47
22
56
52
51
56
20
44
50
41
51
60
39
58
39
31
54
44
60
33
29
34
48
31
77
53
32
58
27
49
36
33
49
22
75
66
48
59
66
53
69
43
41
38
54
39
44
36
32
47
46
64
28
30
68
51
45
40
47
40
17
25
42
45
71
66
57
55
19
47
51
50
43
36
37
27
49
80
62
26
45
36
52
38
56
46
21
52
57
31
17
64
66
51
52
58
43
51
16
40
62
64
59
20
54
54
59
56
55
40
56
51
58
53
58
62
46
61
64
78
49
56
76
46
37
46
62
46
46
78
45
43
48
43
49
79
65
53
58
36
31
51
66
19
48
103
51
73
58
11
72
43
38
46
44
79
48
69
57
54
80
75
21
36
22
60
70
36
66
48
41
89
72
66
40
39
66
30
70
66
39
36
57
54
39
22
40
49
23
78
59
64
40
27
99
55
49
42
85
65
0
20
74
50
46
30
22
71
57
70
66
30
18
36
56
41
49
67
72
36
28
122
50
59
65
32
74
80
58
80
70
26
63
78
90
54
41
62
82
65
76
128
67
36
70
66
33
27
60
0
85
33
31
53
29
61
37
76
25
39
38
104
68
69
29
0
0
0
0
97
83
28
49
55
41
0
53
75
86
0
75
0
0
73
