times_household,counts_household,times_k12school,counts_k12school,times_college,counts_college,times_workplace,counts_workplace,times_primary,counts_primary,times_secondary,counts_secondary
2434,1668988,0,0,0,0,114,59240,0,0,0,0
2998,1546385,0,0,0,0,220,59092,0,0,0,0
2497,731383,0,0,0,0,618,59171,0,0,0,0
4629,605669,0,0,0,0,984,59311,0,0,0,0
5140,223055,0,0,0,0,2296,59050,0,0,0,0
10541,84357,46,303,0,0,7226,59546,0,0,0,0
0,0,247,829,0,0,18949,58826,0,0,0,0
0,0,1015,1212,0,0,47913,59274,0,0,0,0
0,0,21023,20408,0,0,61219,58998,0,0,0,0
0,0,1,1,0,0,2211,1992,0,0,0,0
0,0,0,0,0,0,2597,1878,0,0,0,0
0,0,2,1,0,0,3465,1792,0,0,0,0
0,0,8,4,0,0,3618,1758,0,0,0,0
0,0,2582,1243,0,0,4159,1799,0,0,0,0
0,0,5706,2597,0,0,4957,1744,0,0,0,0
0,0,11895,4558,0,0,5643,1808,0,0,0,0
0,0,18139,5936,0,0,6109,1800,0,0,0,0
0,0,25738,7952,0,0,6704,1779,0,0,0,0
0,0,40852,11551,0,0,7510,1824,0,0,0,0
0,0,85452,20380,0,0,1564,365,0,0,0,0
0,0,102796,23199,0,0,1612,341,0,0,0,0
0,0,90555,17858,0,0,1803,349,0,0,0,0
0,0,27301,4920,0,0,2239,414,0,0,0,0
0,0,0,0,0,0,2141,370,0,0,0,0
0,0,0,0,0,0,2298,361,0,0,0,0
0,0,0,0,0,0,2547,387,0,0,0,0
0,0,0,0,0,0,2236,324,0,0,0,0
0,0,0,0,0,0,2620,362,0,0,0,0
0,0,0,0,0,0,3036,388,0,0,0,0
0,0,0,0,17,2,3052,379,0,0,0,0
0,0,11,1,0,0,3361,393,0,0,0,0
0,0,0,0,0,0,3455,380,0,0,0,0
0,0,0,0,9,1,3534,376,0,0,0,0
0,0,0,0,0,0,3539,354,0,0,0,0
0,0,0,0,21,2,3948,379,0,0,0,0
0,0,0,0,11,1,4355,401,0,0,0,0
0,0,0,0,22,2,4645,411,0,0,0,0
0,0,0,0,11,1,4212,359,0,0,0,0
0,0,0,0,25,2,4377,354,0,0,0,0
0,0,0,0,0,0,4271,337,0,0,0,0
0,0,0,0,27,2,4658,357,0,0,0,0
0,0,0,0,14,1,4627,339,0,0,0,0
0,0,0,0,57,4,5590,392,0,0,0,0
0,0,0,0,15,1,5306,362,0,0,17,1
0,0,0,0,107,7,5586,367,0,0,0,0
0,0,0,0,33,2,5151,325,0,0,0,0
0,0,0,0,34,2,5892,355,0,0,0,0
0,0,0,0,124,7,5982,352,0,0,0,0
0,0,0,0,212,12,6132,350,0,0,20,1
0,0,0,0,162097,8753,450,25,0,0,0,0
0,0,0,0,0,0,379,20,17,1,0,0
0,0,0,0,0,0,392,20,0,0,41,2
0,0,0,0,0,0,396,20,19,1,20,1
0,0,0,0,0,0,359,18,0,0,66,3
0,0,0,0,0,0,434,21,0,0,23,1
0,0,0,0,0,0,462,22,21,1,0,0
0,0,0,0,0,0,466,21,22,1,27,1
0,0,0,0,0,0,573,25,46,2,24,1
0,0,0,0,0,0,406,17,0,0,56,2
