Updating,Tracing,Infector,Total
1016579,234955,61765509,63017060
1079794,234940,60905054,62219854
1081562,234781,60923647,62240018
1081418,235172,61398186,62714805
1082771,234908,62336205,63653915
622340,235661,56957338,57815370
957558,233352,56789982,57980915
1079449,127707,62190012,63397201
1080720,129545,62818957,64029251
1112351,176689,62564869,63853933
1167452,131093,62168849,63467409
1082527,125246,62347256,63555045
620922,124631,57448270,58193839
1000632,122785,56661563,57784999
1081853,119081,61879186,63080136
1081799,118755,62475353,63675926
1094396,117013,61684008,62895432
1167706,116788,61815858,63100369
1132720,114091,62924831,64171657
604211,113506,55640337,56358069
959702,110724,54698903,55769345
1082220,111140,60863381,62056757
1161715,108873,60263334,61533934
1086104,106314,60547577,61740010
1081111,104608,60593969,61779703
1127834,108654,61595123,62831625
594249,101806,56450643,57146714
991572,101080,56235688,57328353
1136204,99495,62396707,63632421
1093755,99591,61670331,62863691
1180587,100903,61363047,62644554
1144554,100936,61421092,62666596
1084422,100020,61391093,62575547
598173,99791,55855117,56553095
960611,99405,56018162,57078195
1151961,99950,60509699,61761626
1104195,100729,60939889,62144829
1088681,100296,62048840,63237831
1174197,102443,61510049,62786703
1097217,100836,62224794,63422860
650755,103156,56623966,57377890
1009485,101910,55509753,56621167
1094109,100813,60939092,62134028
1152331,103856,62174430,63430635
1159145,103211,61858782,63121152
1094331,101432,61290790,62486570
1107019,101645,61221737,62430414
604896,102644,56618085,57325640
971142,101028,55349897,56422083
1098834,101079,61620071,62819998
1098265,102005,60829792,62030075
1099308,101329,60823089,62023741
1106127,101307,61236262,62443711
1098331,100762,61394474,62593581
639125,102396,55608586,56350121
985154,99999,56147409,57232577
1097508,100095,61594162,62791779
1207232,102223,61954258,63263729
1209112,105316,61540351,62854798
1093552,101039,61427888,62622493
1094895,99821,61653277,62848008
603718,99653,55867460,56570848
972706,99487,56052433,57124640
1089821,99977,61604114,62793926
1089182,98912,61571164,62759273
1093440,98762,61701535,62893751
1089010,99303,61845670,63033998
1172976,100475,62490004,63763472
598460,98792,56128458,56825732
1038289,100523,56975139,58113966
1171500,100467,62445094,63717077
1083842,98110,62838442,64020409
1083495,97958,62472644,63654115
1093873,98270,62136582,63328744
1145733,100017,62213924,63459694
638775,100268,56946632,57685695
1038458,100035,56862275,58000787
1208955,100075,62247918,63556964
1169036,100095,62657265,63926416
1085063,98194,62301075,63484349
1084001,97802,63500796,64682619
1127846,97867,62531780,63757511
637949,100186,57282564,58020719
1036040,100103,56824154,57960315
1180643,105138,62601708,63887509
1168219,99970,62659769,63927978
1128189,99767,64107343,65335315
1086196,99041,63501963,64687219
1151808,102551,63199072,64453448
623569,99771,56845850,57569213
1034299,101571,56516767,57652657
1172198,101372,62940452,64214041
1146578,102681,62806248,64055528
1141652,99956,61749415,62991042
1117647,101248,62248536,63467449
1087139,98146,61215114,62400416
648178,100339,57320664,58069203
1037220,102088,57402080,58541412
1115970,99708,62368217,63583944
1144854,102121,62608963,63855990
