Updating,Tracing,Infector,Total
1653379,222499,573886,2449779
1710897,224416,419273,2354613
1752017,222223,451899,2426156
1765134,287256,443356,2495782
1716303,326080,412341,2454752
1411514,221219,399357,2032110
1566094,270611,343679,2180405
1728577,132483,425960,2287048
1740547,164957,443670,2349208
1748852,143522,417403,2309789
1729046,181844,434793,2345699
1718611,122334,456630,2297588
1409445,121265,362243,1892965
1595328,140175,366364,2101896
1739630,147887,422790,2310322
1718881,170995,436328,2326226
1721279,121092,436510,2278895
1749540,121942,448430,2319932
1719487,122531,443254,2285285
1413701,125819,404723,1944258
1580174,125709,408635,2114542
1714845,123564,491815,2330238
1714605,123351,505380,2343351
1715906,123202,522499,2361624
1723691,125761,529503,2378969
1714588,123158,550128,2387888
1417112,132232,510923,2060294
1592533,128361,540816,2261727
1720579,166203,633889,2520683
1720721,135667,668253,2524655
1728365,125079,714760,2568227
1715947,123644,740544,2580160
1718864,123957,819355,2662201
1411226,123078,790314,2324636
1581815,172332,853322,2607498
1716504,122798,985542,2824873
1718744,123433,1050841,2893048
1722966,122901,1105407,2951295
1716392,122971,1181138,3020522
1717017,122605,1242044,3081686
1415492,124116,1264671,2804306
1582051,122846,1332511,3037433
1735025,123526,1492342,3350927
1723828,123233,1510628,3357712
1728423,158371,1535433,3422252
1725973,123627,1605704,3455327
1762337,123412,1621014,3506784
1439117,122375,1567215,3128735
1582148,142582,1517701,3242457
1727128,120470,1611694,3459315
1715309,120291,1537784,3373408
1729343,121461,1461610,3312434
1749320,122736,1400335,3272422
1757816,121674,1348670,3228191
1430690,121903,1187457,2740066
1582636,123089,1126381,2832142
1729915,167638,1133657,3031247
1736955,121209,1046070,2904253
1728812,123055,961750,2813634
1723548,124790,897960,2746331
1721418,123132,819614,2664189
1425505,133030,705505,2264057
1592300,125329,653539,2371186
1744887,125773,670435,2541113
1723559,124201,632053,2479835
1720098,124469,600914,2445501
1723250,170891,576561,2470717
1729471,122707,551246,2403439
1433311,122874,470379,2026583
1587931,123376,447793,2159116
1725043,122428,495448,2342934
1726054,124351,470957,2321375
1713874,122594,470145,2306628
1719043,123886,455508,2298452
1716432,124740,458335,2299522
1424170,122626,377374,1924185
1582917,125003,376437,2084393
1720066,124286,436402,2280780
1713614,122676,432879,2269183
1715818,124899,434086,2274817
1710049,124277,425144,2259484
1704556,124019,435263,2263851
1399366,121888,354488,1875755
1566314,124005,351899,2042233
1698773,124604,412449,2235842
1704001,128563,418993,2251571
1704940,123445,413177,2241575
1714101,171513,420297,2305923
1748501,122057,433000,2303571
1445207,131285,343978,1920483
1596753,118056,345840,2060661
1725526,121176,412880,2259593
1734559,118179,405365,2258115
1731259,121018,425388,2277680
1755789,121361,410262,2287426
1750437,120351,417710,2288520
1418295,118208,341182,1877699
1602023,164352,344992,2111391
1752660,120859,402412,2275945
1745841,145131,408806,2299790
